,prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg,junyi_code,level,learning_content,pre_code,para_code,theme,topic
0,一年級,一百以內的數,N-1-1,二年級,一千以內的數,N-2-1,N-1-1,主題,一百以內的數：含操作活動。用數表示多少與順序。結合數數、位值表徵、位值表。位值單位「個」和「十」。位值單位換算。認識0的位值意義,,"N-1-2,N-1-4,D-1-1,N-1-5,N-1-6",N,
1,一年級,加法和減法,N-1-2,二年級,加減算式與直式計算,N-2-2,N-1-2,主題,加法和減法：加法和減法的意義與應用。含「添加型」、「併加型」、「拿走型」、「比較型」等應用問題。加法和減法算式。,,"N-1-1,N-1-3,N-1-4,N-1-5,R-1-1,R-1-2,D-1-1",N,
1,一年級,加法和減法,N-1-2,二年級,加減應用問題,N-2-3,N-1-2,主題,加法和減法：加法和減法的意義與應用。含「添加型」、「併加型」、「拿走型」、「比較型」等應用問題。加法和減法算式。,,"N-1-1,N-1-3,N-1-4,N-1-5,R-1-1,R-1-2,D-1-1",N,
1,一年級,加法和減法,N-1-2,二年級,簡單加減估算,N-2-4,N-1-2,主題,加法和減法：加法和減法的意義與應用。含「添加型」、「併加型」、「拿走型」、「比較型」等應用問題。加法和減法算式。,,"N-1-1,N-1-3,N-1-4,N-1-5,R-1-1,R-1-2,D-1-1",N,
1,一年級,加法和減法,N-1-2,二年級,乘法,N-2-6,N-1-2,主題,加法和減法：加法和減法的意義與應用。含「添加型」、「併加型」、「拿走型」、「比較型」等應用問題。加法和減法算式。,,"N-1-1,N-1-3,N-1-4,N-1-5,R-1-1,R-1-2,D-1-1",N,
2,一年級,基本加減法,N-1-3,二年級,加減算式與直式計算,N-2-2,N-1-3,主題,基本加減法：以操作活動為主。以熟練為目標。指1到10之數與1到10之數的加法，及反向的減法計算。,,"N-1-2,N-1-4,R-1-2",N,
2,一年級,基本加減法,N-1-3,二年級,加減應用問題,N-2-3,N-1-3,主題,基本加減法：以操作活動為主。以熟練為目標。指1到10之數與1到10之數的加法，及反向的減法計算。,,"N-1-2,N-1-4,R-1-2",N,
2,一年級,基本加減法,N-1-3,二年級,加法與減法的關係,R-2-4,N-1-3,主題,基本加減法：以操作活動為主。以熟練為目標。指1到10之數與1到10之數的加法，及反向的減法計算。,,"N-1-2,N-1-4,R-1-2",N,
3,一年級,1元、5元、10元、50元、100元,N-1-4,二年級,100元、500元、1000元,N-2-5,N-1-4,主題,"解題：1元、5元、10元、50元、100元。以操作活動為主。數錢、換
 錢、找錢。",,"N-1-1,N-1-2,N-1-3,N-2-5",N,
4,一年級,長度,N-1-5,二年級,長度,N-2-11,N-1-5,主題,"長度（同S-1-1）:以操作活動為主。初步認識、直接比較、間接比較（含
 個別單位）。",,"N-1-1,N-1-2,S-1-1",N,
