prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg
認識分數,一百以內的數123,3-n-11,認識分數,認識單位分數23,3-n-10
認識分數,認識單位分數23,3-n-10,認識分數,幾分之幾,3-n-11
認識分數,幾分之幾,3-n-11,認識分數,有幾個單位分數,3-n-11
認識分數,有幾個單位分數,3-n-11,同分母分數加減,單位分數的累積,3-n-11
同分母分數加減,單位分數的累積,3-n-11,同分母分數加減,分數的大小比較,3-n-11
同分母分數加減,分數的大小比較,3-n-11,同分母分數加減,分數的加、減法,3-n-11
同分母分數加減,分數的加、減法,3-n-11,同分母分數加減,分數與量,3-n-11
帶分數與假分數,真分數、假分數、帶分數,4-n-08,帶分數與假分數,分數的大小比較,4-n-08
帶分數與假分數,真分數、假分數、帶分數,4-n-08,分數的加減與整數倍,分數的加減,4-n-08
帶分數與假分數,真分數、假分數、帶分數,4-n-08,分數的加減與整數倍,分數的整數倍,4-n-08
帶分數與假分數,真分數、假分數、帶分數,4-n-08,等值分數,用分數牆認識等值分數,4-n-09
等值分數,用分數牆認識等值分數,4-n-09,等值分數,等值分數,4-n-09
等值分數,等值分數,4-n-09,等值分數,異分母分數比大小,4-n-09
等值分數,異分母分數比大小,4-n-09,等值分數,分數和小數的互換,4-n-09
等值分數,分數和小數的互換,4-n-09,二位小數,小數和分數,4-n-09
等值分數,分數和小數的互換,4-n-09,數線與分數,分數的數線,4-n-10
整數相除之分數表示,,4-n-07,整數、分數除以整數,整數除以整數,4-n-07
數線與分數,分數的數線,4-n-10,擴分、約分和通分（白底）,分數數線,4-n-10
擴分、約分和通分（白底）,擴分和等值分數,5-n-06,擴分、約分和通分（白底）,約分和等值分數,5-n-06
擴分、約分和通分（白底）,通分和分數的大小比較,5-n-07,異分母分數的加減（白底）,異分母分數的加法,5-n-07
擴分、約分和通分（白底）,通分和分數的大小比較,5-n-07,異分母分數的加減（白底）,異分母分數的減法,5-n-07
異分母分數的加減（白底）,異分母分數的加法,5-n-07,異分母分數的加減（白底）,異分母分數的加減應用,5-n-07
異分母分數的加減（白底）,異分母分數的減法,5-n-07,異分母分數的加減（白底）,異分母分數的加減應用,5-n-07
分數的乘法,分數乘以整數,5-n-08,分數的乘法,整數乘以分數,5-n-08
分數的乘法,整數乘以分數,5-n-08,分數的乘法,分數乘以分數,5-n-08
分數的乘法,分數乘以分數,5-n-08,分數的乘法,運用分數乘法解題,5-n-08
分數的乘法,運用分數乘法解題,5-n-08,分數的乘法,分數倍,5-n-08
分數的乘法,分數倍,5-n-08,分數的乘法,被乘數、乘數和積的關係,5-n-08
整數、分數除以整數,分數除以整數,5-n-09,整數、分數除以整數,解題,5-n-09
整數、分數除以整數,解題,5-n-09,整數、分數除以整數,時間的換算,5-n-09
分數的除法,分數除法的意義,6-n-04,分數的除法,利用分數除法解題,6-n-04
分數的除法,利用分數除法解題,6-n-04,分數的除法,乘除互逆,6-n-04
分數的除法,乘除互逆,6-n-04,分數的除法,乘法和除法的應用,6-n-04
比與比值,比和比值,6-n-09,比與比值,相等的比(1),6-n-09
比與比值,相等的比(1),6-n-09,比與比值,相等的比(2),6-n-09
比與比值,相等的比(2),6-n-09,比與比值,解題,6-n-09
比與比值,解題,6-n-09,基準量與比較量,認識基準量與比較量,6-n-09
正比,正比關係,6-n-10,正比,正比關係圖,6-n-10
二位小數,小數和分數,4-n-09,整數、小數除以整數,分數和小數的互換,4-n-09
多位小數的加減,複習整數數線,5-n-13,多位小數的加減,小數數線,5-n-13
多位小數的加減,小數數線,5-n-13,多位小數的加減,在數線上標示分數與小數,5-n-13
質因數分解與短除法,最大公因數,6-n-03,質因數分解與短除法,最簡分數,6-n-03
基準量與比較量,認識基準量與比較量,6-n-09,基準量與比較量,透過線段圖解析問題,6-n-09
同分母分數加減,分數與量,3-n-11,帶分數與假分數,真分數、假分數、帶分數,4-n-08
分數的加減與整數倍,分數的整數倍,4-n-08,等值分數,用分數牆認識等值分數,4-n-09
同分母分數加減,分數與量,3-n-11,整數相除之分數表示,,4-n-07
等值分數,異分母分數比大小,4-n-09,擴分、約分和通分（白底）,擴分和等值分數,5-n-06
擴分、約分和通分（白底）,約分和等值分數,5-n-06,擴分、約分和通分（白底）,通分和分數的大小比較,5-n-07
擴分、約分和通分（白底）,約分和等值分數,5-n-06,分數的乘法,分數乘以整數,5-n-08
分數的乘法,被乘數、乘數和積的關係,5-n-08,整數、分數除以整數,分數除以整數,5-n-09
整數、分數除以整數,時間的換算,5-n-09,分數的除法,分數除法的意義,6-n-04
擴分、約分和通分（白底）,約分和等值分數,5-n-06,比與比值,比和比值,6-n-09
整數、分數除以整數,整數除以整數,4-n-07,比與比值,比和比值,6-n-09
基準量與比較量,透過線段圖解析問題,6-n-09,正比,正比關係,6-n-10
擴分、約分和通分（白底）,分數數線,4-n-10,多位小數的加減,複習整數數線,5-n-13
擴分、約分和通分（白底）,約分和等值分數,5-n-06,質因數分解與短除法,最大公因數,6-n-03
