prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg
分與合,,1-n-04,10以內的加法,,1-n-04
10以內的加法,,"1-n-04,1-n-05",10以內的減法,,"1-n-04,1-n-05"
10以內的減法,,"1-n-04,1-n-05",20以內的加法,,"1-n-04,1-n-05"
20 以內的數,,1-n-01,100以內的數,,1-n-01
20以內的加法,,"1-n-04,1-n-05",20以內的減法,,"1-n-04,1-n-05"
200 以內的數,,2-n-01,二位數的直式加法,,2-n-01
二位數的直式加法,,"2-n-04,2-n-01",二位數的直式減法,,"2-n-04,2-n-01"
二位數的直式減法,,2-n-01,1000 以內的數,,2-n-01
二位數的直式減法,,2-n-04,1000 以內的加減,,2-n-04
1000 以內的數,,2-n-01,1000 以內的加減,,2-n-01
加減應用,,1-n-06,2、5、10 的乘法,,1-n-06
2、5、10 的乘法,,"2-n-08,2-n-06,1-n-06",0、1、4 的乘法,,"2-n-08,2-n-06,1-n-06"
0、1、4 的乘法,,"2-n-08,2-n-06,1-n-06",3、6、9 的乘法,,"2-n-08,2-n-06,1-n-06"
3、6、9 的乘法,,"2-n-08,2-n-06,1-n-06",7、8 的乘法,,"2-n-08,2-n-06,1-n-06"
整數數線,認識數線,3-n-09,整數數線,在數線上向左右移動,3-n-09
整數數線,在數線上向左右移動,3-n-09,整數數線,數間隔,3-n-09
整數數線,數間隔,3-n-09,整數數線,在數線上做大小比較,3-n-09
整數數線,在數線上做大小比較,3-n-09,整數數線,在數線上做加減,3-n-09
整數數線,在數線上做加減,3-n-09,一位小數,一位小數與數線,3-n-09
10000 以內的數,10000 以內的數的讀寫,3-n-01,10000 以內的數,過十、過百和過千,3-n-01
10000 以內的數,過十、過百和過千,3-n-01,10000 以內的數,認識錢幣和錢幣的應用,3-n-01
10000 以內的數,認識錢幣和錢幣的應用,3-n-01,10000 以內的數,數的大小比較,3-n-01
10000 以內的加減,10000 以內的加法,3-n-02,10000 以內的加減,10000 以內的減法,3-n-02
10000 以內的加減,10000 以內的減法,3-n-02,10000 以內的加減,應用問題,3-n-02
乘法的直式計算,十、百的乘法,3-n-04,乘法的直式計算,不進位乘法,3-n-04
乘法的直式計算,不進位乘法,3-n-04,乘法的直式計算,進位乘法,3-n-04
乘法的直式計算,進位乘法,3-n-04,乘法的直式計算,乘以一位數的應用,3-n-04
乘法的直式計算,乘以一位數的應用,3-n-04,乘法-倍數與整十、整百倍,乘法與倍數,3-n-04
加減併式與估算,三個數的加減計算,3-n-03,加減併式與估算,連加併式,3-n-03
加減併式與估算,連加併式,3-n-03,加減併式與估算,連減併式,3-n-03
加減併式與估算,連減併式,3-n-03,加減併式與估算,加減混合併式,3-n-03
認識除法,除法算式,3-n-05,認識除法,有餘數的除法,3-n-05
認識除法,有餘數的除法,3-n-05,認識除法,除法的直式計算,3-n-05
認識除法,除法的直式計算,3-n-05,認識除法,餘數與奇數、偶數,3-n-05
認識除法,除法的直式計算,3-n-05,認識除法,除法的應用,3-n-05
乘法-倍數與整十、整百倍,乘法與倍數,3-n-04,乘法-倍數與整十、整百倍,整十、整百倍,3-n-04
